calories,protein,fat,sodium,fiber,carbo,sugars,potass,vitamins,shelf,weight,cups,mfr_G,mfr_K,mfr_N,mfr_P,mfr_Q,mfr_R,type_H,rating
,,,,,,,,,,,,True,False,False,False,False,False,False,36.523683
,,,,,,,,,,,,False,False,False,True,False,False,False,36.471512
,,,,,,,,,,,,False,True,False,False,False,False,False,39.241114
,,,,,,,,,,,,False,True,False,False,False,False,False,45.328074
,,,,,,,,,,,,True,False,False,False,False,False,False,26.734515
,,,,,,,,,,,,False,False,False,False,True,False,False,54.850917
,,,,,,,,,,,,True,False,False,False,False,False,False,37.136863
,,,,,,,,,,,,False,False,False,False,False,False,True,34.139765
,,,,,,,,,,,,False,False,False,False,False,True,False,30.313351
,,,,,,,,,,,,False,False,False,False,False,True,False,40.105965
,,,,,,,,,,,,False,True,False,False,False,False,False,29.924285
,,,,,,,,,,,,True,False,False,False,False,False,False,40.69232
,,,,,,,,,,,,False,True,False,False,False,False,False,59.642837
,,,,,,,,,,,,False,True,False,False,False,False,False,30.450843
,,,,,,,,,,,,False,True,False,False,False,False,False,37.840594
,,,,,,,,,,,,True,False,False,False,False,False,False,41.50354
,,,,,,,,,,,,False,False,False,True,False,False,False,60.756112
,,,,,,,,,,,,False,True,False,False,False,False,False,63.005645
,,,,,,,,,,,,False,False,False,False,True,False,False,49.511874
,,,,,,,,,,,,False,False,False,False,True,False,False,39.259197
,,,,,,,,,,,,False,False,False,False,True,False,False,39.7034
,,,,,,,,,,,,False,False,False,False,True,False,True,55.333142
,,,,,,,,,,,,False,True,False,False,False,False,False,41.998933
,,,,,,,,,,,,True,False,False,False,False,False,False,40.560159
,,,,,,,,,,,,False,True,False,False,False,False,False,68.235885
,,,,,,,,,,,,False,False,False,False,False,True,False,74.472949
,,,,,,,,,,,,False,True,False,False,False,False,False,72.801787
,,,,,,,,,,,,False,False,True,False,False,False,False,31.230054
,,,,,,,,,,,,False,False,True,False,False,False,False,53.131324
,,,,,,,,,,,,False,False,True,False,False,False,False,59.363993
,,,,,,,,,,,,False,True,False,False,False,False,False,38.839746
,,,,,,,,,,,,False,True,False,False,False,False,False,28.592785
,,,,,,,,,,,,False,False,True,False,False,False,False,46.658844
,,,,,,,,,,,,True,False,False,False,False,False,False,39.106174
,,,,,,,,,,,,True,False,False,False,False,False,False,27.753301
,,,,,,,,,,,,True,False,False,False,False,False,False,49.787445
,,,,,,,,,,,,True,False,False,False,False,False,False,51.592193
,,,,,,,,,,,,True,False,False,False,False,False,False,36.187559
,,,,,,,,,,,,False,False,False,False,False,True,False,
,,,,,,,,,,,,True,False,False,False,False,False,False,
,,,,,,,,,,,,True,False,False,False,False,False,False,
